ID,Prob1
209, 0.31
210, 0.45
211, 0.31
212, 0.64
213, 0.33
214, 0.31
215, 0.18
216, 0.67
217, 0.48
218, 0.50
219, 0.62
220, 0.34
221, 0.17
222, 0.41
223, 0.50
224, 0.35
225, 0.22
226, 0.77
227, 0.19
228, 0.37
229, 0.48
230, 0.35
231, 0.42
232, 0.31
233, 0.23
234, 0.22
235, 0.27
236, 0.22
237, 0.12
238, 0.25
239, 0.27
240, 0.08
241, 0.18
242, 0.40
243, 0.62
244, 0.18
245, 0.34
246, 0.45
247, 0.40
248, 0.36
249, 0.35
250, 0.40
251, 0.67
252, 0.34
253, 0.18
254, 0.25
255, 0.41
256, 0.65
257, 0.33
258, 0.36
259, 0.65
260, 0.22
261, 0.35
262, 0.22
263, 0.25
264, 0.52
265, 0.36
266, 0.18
267, 0.27
268, 0.36
269, 0.19
270, 0.18
271, 0.34
272, 0.34
273, 0.25
274, 0.77
275, 0.34
276, 0.22
277, 0.25
278, 0.37
279, 0.31
280, 0.27
281, 0.25
282, 0.34
283, 0.22
284, 0.45
285, 0.45
286, 0.22
287, 0.22
288, 0.35
289, 0.25
290, 0.62
291, 0.18
292, 0.27
293, 0.29
294, 0.27
295, 0.31
296, 0.34
297, 0.19
298, 0.61
299, 0.31
300, 0.22
301, 0.18
302, 0.50
303, 0.29
304, 0.22
305, 0.18
306, 0.22
307, 0.27
308, 0.29
309, 0.27
310, 0.25
311, 0.27
312, 0.22
313, 0.27
314, 0.61
315, 0.36
316, 0.18
317, 0.35
318, 0.29
319, 0.31
320, 0.36
321, 0.22
322, 0.18
323, 0.31
324, 0.25
325, 0.18
326, 0.22
327, 0.36
328, 0.33
329, 0.13
330, 0.71
331, 0.31
332, 0.36
333, 0.22
334, 0.31
335, 0.29
336, 0.25
337, 0.25
338, 0.35
339, 0.31
340, 0.35
341, 0.50
342, 0.36
343, 0.31
344, 0.71
345, 0.31
346, 0.18
347, 0.22
348, 0.35
349, 0.19
350, 0.35
351, 0.34
352, 0.34
353, 0.22
354, 0.24
355, 0.17
356, 0.42
357, 0.48
358, 0.27
359, 0.25
360, 0.29
361, 0.61
362, 0.22
363, 0.45
364, 0.25
365, 0.64
366, 0.46
367, 0.23
368, 0.25
369, 0.49
370, 0.31
371, 0.29
372, 0.36
373, 0.23
374, 0.34
375, 0.35
376, 0.61
377, 0.34
378, 0.22
379, 0.48
380, 0.64
381, 0.18
382, 0.22
383, 0.18
384, 0.48
385, 0.23
386, 0.25
387, 0.36
388, 0.27
389, 0.64
390, 0.31
391, 0.18
392, 0.34
393, 0.65
394, 0.45
395, 0.18
396, 0.29
397, 0.13
398, 0.27
399, 0.22
400, 0.27
401, 0.34
402, 0.67
403, 0.18
404, 0.34
405, 0.29
406, 0.25
407, 0.31
408, 0.27
409, 0.42
410, 0.27
411, 0.29
412, 0.22
413, 0.65
414, 0.22
415, 0.34
416, 0.25
417, 0.45
418, 0.18
419, 0.35
420, 0.65
421, 0.50
422, 0.34
423, 0.24
424, 0.27
425, 0.29
426, 0.25
427, 0.22
428, 0.25
429, 0.65
430, 0.36
431, 0.41
432, 0.18
433, 0.45
434, 0.35
435, 0.34
436, 0.35
437, 0.27
438, 0.52
439, 0.31
440, 0.24
441, 0.36
442, 0.29
443, 0.18
444, 0.45
445, 0.27
446, 0.34
447, 0.10
448, 0.27
449, 0.25
450, 0.77
451, 0.10
452, 0.22
453, 0.61
454, 0.29
455, 0.67
456, 0.42
457, 0.31
458, 0.35
459, 0.34
460, 0.22
461, 0.35
462, 0.22
463, 0.64
464, 0.18
465, 0.35
466, 0.62
467, 0.49
468, 0.18
469, 0.27
470, 0.35
471, 0.34
472, 0.31
473, 0.36
474, 0.27
475, 0.33
476, 0.22
477, 0.22
478, 0.24
479, 0.35
480, 0.18
481, 0.27
482, 0.19
483, 0.34
484, 0.61
485, 0.67
486, 0.37
487, 0.33
488, 0.34
489, 0.18
490, 0.10
491, 0.46
492, 0.34
493, 0.27
494, 0.27
495, 0.29
496, 0.27
497, 0.34
498, 0.41
499, 0.29
500, 0.29
501, 0.23
502, 0.65
503, 0.35
504, 0.31
505, 0.45
506, 0.19
507, 0.48
508, 0.33
509, 0.12
510, 0.18
511, 0.35
512, 0.25
513, 0.48
514, 0.22
515, 0.34
516, 0.35
517, 0.48
518, 0.77
519, 0.27
520, 0.22
521, 0.61
522, 0.33
523, 0.40
524, 0.37
525, 0.52
526, 0.67
527, 0.45
528, 0.18
529, 0.22
530, 0.31
531, 0.17
532, 0.19
533, 0.25
534, 0.33
535, 0.18
536, 0.42
537, 0.22
538, 0.29
539, 0.35
540, 0.29
541, 0.61
542, 0.25
543, 0.48
544, 0.23
545, 0.61
546, 0.18
547, 0.18
548, 0.18
549, 0.25
550, 0.19
551, 0.27
552, 0.25
553, 0.35
554, 0.18
555, 0.31
556, 0.52
557, 0.35
558, 0.34
559, 0.65
560, 0.18
561, 0.27
562, 0.34
563, 0.18
564, 0.42
565, 0.22
566, 0.29
567, 0.18
568, 0.37
569, 0.65
570, 0.18
571, 0.48
572, 0.17
573, 0.29
574, 0.64
575, 0.34
576, 0.36
577, 0.25
578, 0.18
579, 0.22
580, 0.29
581, 0.65
582, 0.35
583, 0.35
584, 0.29
585, 0.22
586, 0.25
587, 0.18
588, 0.48
589, 0.29
590, 0.64
591, 0.18
592, 0.31
593, 0.48
594, 0.45
595, 0.18
596, 0.48
597, 0.42
598, 0.35
599, 0.64
600, 0.48
601, 0.34
602, 0.25
603, 0.23
604, 0.45
605, 0.34
606, 0.35
607, 0.27
608, 0.29
609, 0.40
610, 0.48
611, 0.49
612, 0.22
613, 0.17
614, 0.48
615, 0.48
616, 0.64
617, 0.29
618, 0.65
619, 0.22
620, 0.34
621, 0.18
622, 0.67
623, 0.45
624, 0.18
625, 0.29
626, 0.19
627, 0.34
628, 0.24
629, 0.34
630, 0.25
631, 0.22
632, 0.65
633, 0.45
634, 0.65
635, 0.35
636, 0.65
637, 0.77
638, 0.22
639, 0.36
640, 0.18
641, 0.22
642, 0.34
643, 0.19
644, 0.27
645, 0.49
646, 0.34
647, 0.24
648, 0.18
649, 0.42
650, 0.25
651, 0.29
652, 0.49
653, 0.36
654, 0.45
655, 0.45
656, 0.35
657, 0.36
658, 0.10
659, 0.37
660, 0.65
661, 0.34
662, 0.18
663, 0.27
664, 0.45
665, 0.35
666, 0.25
667, 0.18
668, 0.34
669, 0.25
670, 0.27
671, 0.37
672, 0.34
673, 0.34
674, 0.22
675, 0.22
676, 0.35
677, 0.29
678, 0.18
679, 0.48
680, 0.29
681, 0.45
682, 0.18
683, 0.17
684, 0.18
685, 0.45
686, 0.12
687, 0.22
688, 0.22
689, 0.22
690, 0.45
691, 0.67
692, 0.34
693, 0.31
694, 0.27
695, 0.29
696, 0.18
697, 0.22
698, 0.77
699, 0.27
700, 0.36
701, 0.27
702, 0.65
703, 0.65
704, 0.34
705, 0.52
706, 0.49
707, 0.18
708, 0.34
709, 0.35
710, 0.77
711, 0.25
712, 0.25
713, 0.35
714, 0.22
715, 0.37
716, 0.65
717, 0.67
718, 0.65
719, 0.45
720, 0.45
721, 0.22
722, 0.31
723, 0.23
724, 0.22
725, 0.22
726, 0.34
727, 0.31
728, 0.25
729, 0.20
730, 0.18
731, 0.61
732, 0.62
733, 0.17
734, 0.34
735, 0.42
736, 0.25
737, 0.27
738, 0.49
739, 0.52
740, 0.29
741, 0.22
742, 0.61
743, 0.45
744, 0.29
745, 0.34
746, 0.42
747, 0.25
748, 0.34
749, 0.37
750, 0.18
751, 0.45
752, 0.25
753, 0.34
754, 0.33
755, 0.20
756, 0.35
757, 0.77
758, 0.35
759, 0.18
760, 0.48
761, 0.22
762, 0.45
763, 0.65
764, 0.29
765, 0.31
766, 0.64
767, 0.13
768, 0.25
769, 0.22
770, 0.34
771, 0.36
772, 0.34
773, 0.27
774, 0.64
775, 0.19
776, 0.34
777, 0.31
778, 0.29
779, 0.25
780, 0.65
781, 0.37
782, 0.45
783, 0.17
784, 0.25
785, 0.27
786, 0.22
787, 0.35
788, 0.22
789, 0.27
790, 0.22
791, 0.49
792, 0.18
793, 0.61
794, 0.31
795, 0.29
796, 0.27
797, 0.29
798, 0.19
799, 0.27
800, 0.65
801, 0.27
802, 0.41
803, 0.29
804, 0.64
805, 0.36
806, 0.27
807, 0.35
808, 0.34
809, 0.34
810, 0.37
811, 0.77
812, 0.34
813, 0.37
814, 0.29
815, 0.27
816, 0.18
817, 0.25
818, 0.50
819, 0.22
820, 0.77
821, 0.18
822, 0.18
823, 0.17
824, 0.22
825, 0.18
826, 0.18
827, 0.34
828, 0.34
829, 0.25
830, 0.18
831, 0.25
832, 0.42
833, 0.35
834, 0.34
835, 0.49
836, 0.34
837, 0.22
838, 0.22
839, 0.18
840, 0.13
841, 0.34
842, 0.22
843, 0.22
844, 0.49
845, 0.67
846, 0.25
847, 0.42
848, 0.22
849, 0.22
850, 0.34
851, 0.31
852, 0.45
853, 0.61
854, 0.42
855, 0.31
856, 0.23
857, 0.19
858, 0.22
859, 0.22
860, 0.25
861, 0.61
862, 0.27
863, 0.34
864, 0.29
865, 0.34
866, 0.42
867, 0.25
868, 0.22
869, 0.22
870, 0.22
871, 0.18
872, 0.77
873, 0.52
874, 0.22
875, 0.50
876, 0.10
877, 0.48
878, 0.37
879, 0.22
880, 0.48
881, 0.36
882, 0.22
883, 0.10
884, 0.34
885, 0.77
886, 0.35
887, 0.18
888, 0.64
889, 0.48
890, 0.77
891, 0.22
892, 0.12
893, 0.18
894, 0.23
895, 0.64
896, 0.34
897, 0.25
898, 0.64
899, 0.65
900, 0.34
901, 0.27
902, 0.36
903, 0.64
904, 0.36
905, 0.37
906, 0.67
907, 0.65
908, 0.34
909, 0.31
910, 0.27
911, 0.22
912, 0.29
913, 0.34
914, 0.65
915, 0.22
916, 0.48
917, 0.22
918, 0.25
919, 0.34
920, 0.35
921, 0.31
922, 0.49
923, 0.27
924, 0.29
925, 0.18
926, 0.34
927, 0.45
928, 0.34
929, 0.22
930, 0.49
931, 0.18
932, 0.22
933, 0.40
934, 0.37
935, 0.34
936, 0.31
937, 0.35
938, 0.62
939, 0.22
940, 0.48
941, 0.35
942, 0.35
943, 0.27
944, 0.18
945, 0.31
946, 0.62
947, 0.64
948, 0.48
949, 0.18
950, 0.33
951, 0.40
952, 0.65
953, 0.49
954, 0.19
955, 0.77
956, 0.22
957, 0.61
958, 0.37
959, 0.27
960, 0.48
961, 0.29
962, 0.18
963, 0.27
964, 0.61
965, 0.27
966, 0.31
967, 0.35
968, 0.18
969, 0.37
970, 0.34
971, 0.35
972, 0.25
973, 0.35
974, 0.35
975, 0.27
976, 0.31
977, 0.48
978, 0.35
979, 0.61
980, 0.29
981, 0.22
982, 0.22
983, 0.50
984, 0.34
985, 0.18
986, 0.34
987, 0.23
988, 0.40
989, 0.27
990, 0.64
991, 0.22
992, 0.31
993, 0.77
994, 0.34
995, 0.17
996, 0.18
997, 0.22
998, 0.64
999, 0.18
1000, 0.31
1001, 0.27
1002, 0.50
1003, 0.46
1004, 0.19
1005, 0.45
1006, 0.18
1007, 0.29
1008, 0.48
1009, 0.22
1010, 0.31
1011, 0.25
1012, 0.18
1013, 0.13
1014, 0.31
1015, 0.61
1016, 0.22
1017, 0.27
1018, 0.49
1019, 0.65
1020, 0.42
1021, 0.35
1022, 0.62
1023, 0.22
1024, 0.52
1025, 0.18
1026, 0.64
1027, 0.65
1028, 0.27
1029, 0.25
1030, 0.65
1031, 0.61
1032, 0.35
1033, 0.18
1034, 0.18
1035, 0.22
1036, 0.34
1037, 0.34
1038, 0.27
1039, 0.18
1040, 0.48
1041, 0.61
1042, 0.35
1043, 0.27
1044, 0.62
1045, 0.41
1046, 0.42
1047, 0.27
1048, 0.25
1049, 0.29
1050, 0.22
1051, 0.10
1052, 0.22
1053, 0.18
1054, 0.25
1055, 0.19
1056, 0.48
1057, 0.31
1058, 0.40
1059, 0.25
1060, 0.48
1061, 0.25
1062, 0.67
1063, 0.18
1064, 0.10
1065, 0.22
1066, 0.45
1067, 0.22
1068, 0.49
1069, 0.67
1070, 0.27
1071, 0.35
1072, 0.22
1073, 0.50
1074, 0.45
1075, 0.29
1076, 0.22
1077, 0.36
1078, 0.42
1079, 0.65
1080, 0.18
1081, 0.65
1082, 0.65
1083, 0.40
1084, 0.49
1085, 0.27
1086, 0.29
1087, 0.18
1088, 0.35
1089, 0.65
1090, 0.18
1091, 0.36
1092, 0.64
1093, 0.61
1094, 0.31
1095, 0.45
1096, 0.34
1097, 0.22
1098, 0.40
1099, 0.18
1100, 0.22
1101, 0.27
1102, 0.34
1103, 0.31
1104, 0.71
1105, 0.31
1106, 0.18
1107, 0.36
1108, 0.34
1109, 0.45
1110, 0.37
1111, 0.65
1112, 0.18
1113, 0.34
1114, 0.27
1115, 0.34
1116, 0.27
1117, 0.31
1118, 0.34
1119, 0.29
1120, 0.13
1121, 0.61
1122, 0.18
1123, 0.29
1124, 0.29
1125, 0.65
1126, 0.45
1127, 0.29
1128, 0.65
1129, 0.77
1130, 0.35
1131, 0.48
1132, 0.29
1133, 0.18
1134, 0.25
1135, 0.22
1136, 0.42
1137, 0.27
1138, 0.61
1139, 0.34
1140, 0.22
1141, 0.22
1142, 0.64
1143, 0.29
1144, 0.48
1145, 0.65
1146, 0.27
1147, 0.27
1148, 0.48
1149, 0.22
1150, 0.65
1151, 0.22
1152, 0.23
1153, 0.37
1154, 0.40
1155, 0.27
1156, 0.77
1157, 0.27
1158, 0.35
1159, 0.45
1160, 0.37
1161, 0.35
1162, 0.19
1163, 0.23
1164, 0.25
1165, 0.27
1166, 0.52
1167, 0.18
1168, 0.29
1169, 0.49
1170, 0.25
1171, 0.34
1172, 0.18
1173, 0.27
1174, 0.29
1175, 0.42
1176, 0.35
1177, 0.17
1178, 0.36
1179, 0.29
1180, 0.17
1181, 0.34
1182, 0.22
1183, 0.22
1184, 0.18
1185, 0.45
1186, 0.67
1187, 0.36
1188, 0.27
1189, 0.35
1190, 0.25
1191, 0.31
1192, 0.27
1193, 0.27
1194, 0.13
1195, 0.61
1196, 0.29
1197, 0.50
1198, 0.19
1199, 0.25
1200, 0.34
1201, 0.45
1202, 0.34
1203, 0.31
1204, 0.18
1205, 0.27
1206, 0.35
1207, 0.61
1208, 0.27
1209, 0.61
1210, 0.27
1211, 0.23
1212, 0.29
1213, 0.35
1214, 0.34
1215, 0.34
1216, 0.31
1217, 0.31
1218, 0.29
1219, 0.31
1220, 0.37
1221, 0.18
1222, 0.31
1223, 0.27
1224, 0.23
1225, 0.35
1226, 0.29
1227, 0.18
1228, 0.29
1229, 0.48
1230, 0.50
1231, 0.29
1232, 0.29
1233, 0.34
1234, 0.19
1235, 0.29
1236, 0.25
1237, 0.65
1238, 0.34
1239, 0.35
1240, 0.33
1241, 0.31
1242, 0.22
1243, 0.23
1244, 0.22
1245, 0.46
1246, 0.25
1247, 0.34
1248, 0.17
1249, 0.31
1250, 0.22
1251, 0.25
1252, 0.61
1253, 0.45
1254, 0.22
1255, 0.29
1256, 0.22
1257, 0.65
1258, 0.22
1259, 0.25
1260, 0.10
1261, 0.29
1262, 0.31
1263, 0.48
1264, 0.18
1265, 0.27
1266, 0.29
1267, 0.31
1268, 0.18
1269, 0.33
1270, 0.71
1271, 0.48
1272, 0.35
1273, 0.48
1274, 0.35
1275, 0.40
1276, 0.22
1277, 0.36
1278, 0.35
1279, 0.35
1280, 0.29
1281, 0.25
1282, 0.45
1283, 0.45
1284, 0.45
1285, 0.25
1286, 0.29
1287, 0.77
1288, 0.49
1289, 0.19
1290, 0.48
1291, 0.52
1292, 0.25
1293, 0.18
1294, 0.42
1295, 0.48
1296, 0.50
1297, 0.18
1298, 0.27
1299, 0.22
1300, 0.48
1301, 0.67
1302, 0.45
1303, 0.31
1304, 0.25
1305, 0.29
1306, 0.25
1307, 0.18
1308, 0.27
1309, 0.25
1310, 0.23
1311, 0.29
1312, 0.22
1313, 0.29
1314, 0.34
1315, 0.45
1316, 0.37
1317, 0.22
1318, 0.42
1319, 0.29
1320, 0.31
1321, 0.18
1322, 0.19
1323, 0.48
1324, 0.64
1325, 0.34
1326, 0.37
1327, 0.42
1328, 0.40
1329, 0.31
1330, 0.77
1331, 0.65
1332, 0.42
1333, 0.20
1334, 0.22
1335, 0.27
1336, 0.18
1337, 0.45
1338, 0.34
1339, 0.27
1340, 0.18
1341, 0.17
1342, 0.35
1343, 0.48
1344, 0.19
1345, 0.48
1346, 0.33
1347, 0.52
1348, 0.35
1349, 0.12
1350, 0.22
1351, 0.46
1352, 0.65
1353, 0.37
1354, 0.65
1355, 0.48
1356, 0.45
1357, 0.22
1358, 0.29
1359, 0.27
1360, 0.25
1361, 0.35
1362, 0.27
1363, 0.27
1364, 0.12
1365, 0.25
1366, 0.29
1367, 0.18
1368, 0.35
1369, 0.37
1370, 0.45
1371, 0.65
1372, 0.34
1373, 0.48
1374, 0.25
1375, 0.33
1376, 0.42
1377, 0.25
1378, 0.35
1379, 0.31
1380, 0.34
1381, 0.18
1382, 0.61
1383, 0.18
1384, 0.22
1385, 0.29
1386, 0.27
1387, 0.25
1388, 0.34
1389, 0.27
1390, 0.27
1391, 0.34
1392, 0.29
1393, 0.37
1394, 0.29
1395, 0.48
1396, 0.49
1397, 0.29
1398, 0.18
1399, 0.48
1400, 0.34
1401, 0.22
1402, 0.36
1403, 0.35
1404, 0.35
1405, 0.35
1406, 0.52
1407, 0.34
1408, 0.22
1409, 0.31
1410, 0.27
1411, 0.23
1412, 0.18
1413, 0.31
1414, 0.18
1415, 0.22
1416, 0.22
1417, 0.31
1418, 0.41
1419, 0.65
1420, 0.25
1421, 0.36
1422, 0.77
1423, 0.18
1424, 0.25
1425, 0.29
1426, 0.45
1427, 0.61
1428, 0.18
1429, 0.29
1430, 0.45
1431, 0.37
1432, 0.31
1433, 0.34
1434, 0.45
1435, 0.77
1436, 0.48
1437, 0.27
1438, 0.40
1439, 0.52
1440, 0.22
1441, 0.49
1442, 0.42
1443, 0.22
1444, 0.35
1445, 0.22
1446, 0.35
1447, 0.31
1448, 0.29
1449, 0.25
1450, 0.29
1451, 0.37
1452, 0.25
1453, 0.25
1454, 0.34
1455, 0.25
1456, 0.45
1457, 0.65
1458, 0.25
1459, 0.29
1460, 0.22
1461, 0.22
1462, 0.45
1463, 0.25
1464, 0.25
1465, 0.27
1466, 0.25
1467, 0.22
1468, 0.22
1469, 0.10
1470, 0.34
1471, 0.27
1472, 0.22
1473, 0.18
1474, 0.34
1475, 0.22
1476, 0.36
1477, 0.22
1478, 0.18
1479, 0.25
1480, 0.49
1481, 0.27
1482, 0.22
1483, 0.48
1484, 0.37
1485, 0.29
1486, 0.22
1487, 0.42
1488, 0.18
1489, 0.45
1490, 0.31
1491, 0.77
1492, 0.31
1493, 0.42
1494, 0.42
1495, 0.22
1496, 0.29
1497, 0.22
1498, 0.22
1499, 0.22
1500, 0.65
1501, 0.64
1502, 0.27
1503, 0.64
1504, 0.34
1505, 0.34
1506, 0.22
1507, 0.17
1508, 0.40
1509, 0.48
1510, 0.62
1511, 0.34
1512, 0.48
1513, 0.35
1514, 0.18
1515, 0.27
1516, 0.25
1517, 0.19
1518, 0.13
1519, 0.35
1520, 0.35
1521, 0.22
1522, 0.45
1523, 0.40
1524, 0.22
1525, 0.27
1526, 0.27
1527, 0.25
1528, 0.18
1529, 0.62
1530, 0.31
1531, 0.48
1532, 0.48
1533, 0.29
1534, 0.27
1535, 0.35
1536, 0.42
1537, 0.29
1538, 0.31
1539, 0.27
1540, 0.19
1541, 0.22
1542, 0.18
1543, 0.22
1544, 0.65
1545, 0.12
1546, 0.31
1547, 0.25
1548, 0.37
1549, 0.22
1550, 0.22
1551, 0.34
1552, 0.34
1553, 0.25
1554, 0.25
1555, 0.18
1556, 0.36
1557, 0.31
1558, 0.22
1559, 0.40
1560, 0.45
1561, 0.22
1562, 0.17
1563, 0.29
1564, 0.22
1565, 0.35
1566, 0.31
1567, 0.08
1568, 0.25
1569, 0.67
1570, 0.25
1571, 0.10
1572, 0.22
1573, 0.22
1574, 0.61
1575, 0.23
1576, 0.18
1577, 0.27
1578, 0.34
1579, 0.18
1580, 0.35
1581, 0.34
1582, 0.18
1583, 0.48
1584, 0.27
1585, 0.71
1586, 0.27
1587, 0.17
1588, 0.37
1589, 0.67
1590, 0.45
1591, 0.22
1592, 0.19
1593, 0.35
1594, 0.19
1595, 0.29
1596, 0.77
1597, 0.25
1598, 0.23
1599, 0.61
1600, 0.25
1601, 0.61
1602, 0.35
1603, 0.42
1604, 0.31
1605, 0.22
1606, 0.35
1607, 0.48
1608, 0.18
1609, 0.22
1610, 0.61
1611, 0.37
1612, 0.29
1613, 0.34
1614, 0.36
1615, 0.34
1616, 0.65
1617, 0.34
1618, 0.22
1619, 0.22
1620, 0.34
1621, 0.77
1622, 0.29
1623, 0.33
1624, 0.34
1625, 0.40
1626, 0.31
1627, 0.22
1628, 0.25
1629, 0.35
1630, 0.13
1631, 0.29
1632, 0.27
1633, 0.50
1634, 0.25
1635, 0.36
1636, 0.29
1637, 0.61
1638, 0.25
1639, 0.31
1640, 0.29
1641, 0.48
1642, 0.25
1643, 0.22
1644, 0.50
1645, 0.67
1646, 0.64
1647, 0.46
1648, 0.50
1649, 0.48
1650, 0.31
1651, 0.17
1652, 0.25
1653, 0.67
1654, 0.67
1655, 0.65
1656, 0.18
1657, 0.61
1658, 0.22
1659, 0.34
1660, 0.08
1661, 0.18
1662, 0.36
1663, 0.18
1664, 0.31
1665, 0.18
1666, 0.17
1667, 0.29
1668, 0.61
1669, 0.46
1670, 0.25
1671, 0.31
1672, 0.35
1673, 0.71
1674, 0.29
1675, 0.34
1676, 0.18
1677, 0.49
1678, 0.61
1679, 0.31
1680, 0.25
1681, 0.24
1682, 0.48
1683, 0.19
1684, 0.22
1685, 0.77
1686, 0.77
1687, 0.33
1688, 0.42
1689, 0.18
1690, 0.45
1691, 0.34
1692, 0.65
1693, 0.41
1694, 0.31
1695, 0.22
1696, 0.48
1697, 0.29
1698, 0.22
1699, 0.17
1700, 0.27
1701, 0.37
1702, 0.49
1703, 0.34
1704, 0.18
1705, 0.61
1706, 0.65
1707, 0.35
1708, 0.45
1709, 0.29
1710, 0.48
1711, 0.77
1712, 0.35
1713, 0.22
1714, 0.36
1715, 0.65
1716, 0.61
1717, 0.25
1718, 0.52
1719, 0.49
1720, 0.35
1721, 0.25
1722, 0.34
1723, 0.34
1724, 0.45
1725, 0.45
1726, 0.34
1727, 0.48
1728, 0.18
1729, 0.65
1730, 0.61
1731, 0.31
1732, 0.35
1733, 0.25
1734, 0.65
1735, 0.34
1736, 0.48
1737, 0.22
1738, 0.34
1739, 0.48
1740, 0.45
1741, 0.42
1742, 0.31
1743, 0.35
1744, 0.34
1745, 0.34
1746, 0.25
1747, 0.27
1748, 0.35
1749, 0.61
1750, 0.18
1751, 0.25
1752, 0.48
1753, 0.35
1754, 0.36
1755, 0.27
1756, 0.35
1757, 0.22
1758, 0.23
1759, 0.22
1760, 0.18
1761, 0.29
1762, 0.22
1763, 0.27
1764, 0.27
1765, 0.34
1766, 0.65
1767, 0.25
1768, 0.22
1769, 0.22
1770, 0.27
1771, 0.61
1772, 0.45
1773, 0.18
1774, 0.64
1775, 0.29
1776, 0.35
1777, 0.35
1778, 0.31
1779, 0.19
1780, 0.61
1781, 0.31
1782, 0.34
1783, 0.34
1784, 0.25
1785, 0.25
1786, 0.19
1787, 0.18
1788, 0.31
1789, 0.29
1790, 0.18
1791, 0.25
1792, 0.29
1793, 0.23
1794, 0.25
1795, 0.18
1796, 0.27
1797, 0.50
1798, 0.18
1799, 0.31
1800, 0.40
1801, 0.22
1802, 0.37
1803, 0.65
1804, 0.22
1805, 0.35
1806, 0.31
1807, 0.18
1808, 0.49
1809, 0.45
1810, 0.29
1811, 0.27
1812, 0.34
1813, 0.18
1814, 0.34
1815, 0.18
1816, 0.19
1817, 0.19
1818, 0.34
1819, 0.18
1820, 0.61
1821, 0.45
1822, 0.36
1823, 0.22
1824, 0.77
1825, 0.25
1826, 0.18
1827, 0.64
1828, 0.18
1829, 0.18
1830, 0.25
1831, 0.42
1832, 0.18
1833, 0.22
1834, 0.25
1835, 0.22
1836, 0.27
1837, 0.36
1838, 0.48
1839, 0.77
1840, 0.25
1841, 0.64
1842, 0.34
1843, 0.35
1844, 0.34
1845, 0.40
1846, 0.67
1847, 0.27
1848, 0.35
1849, 0.25
1850, 0.45
1851, 0.36
1852, 0.24
1853, 0.25
1854, 0.31
1855, 0.64
1856, 0.42
1857, 0.25
1858, 0.36
1859, 0.34
1860, 0.22
1861, 0.22
1862, 0.40
1863, 0.61
1864, 0.25
1865, 0.29
1866, 0.25
1867, 0.22
1868, 0.45
1869, 0.23
1870, 0.18
1871, 0.48
1872, 0.29
